name,uri,pflags
15_3__[In_progress]_Inference_for_Linear_Regression,https://www.textbook.ds100.org/ch/15/linear_inference.html,"{""prefix"": [""linear_inference""]}"
15_4__Least_Squares_—_A_Geometric_Perspective,https://www.textbook.ds100.org/ch/15/linear_projection.html,"{""prefix"": [""linear_projection""]}"
16__Probability_and_Generalization,https://www.textbook.ds100.org/ch/16/prob_and_gen.html,"{""prefix"": [""prob_and_gen""]}"
16_1__Random_Variables,https://www.textbook.ds100.org/ch/16/prob_random_vars.html,"{""prefix"": [""prob_random_vars""]}"
16_2__Expectation_and_Variance,https://www.textbook.ds100.org/ch/16/prob_exp_var.html,"{""prefix"": [""prob_exp_var""]}"
16_3__Risk,https://www.textbook.ds100.org/ch/16/prob_risk.html,"{""prefix"": [""prob_risk""]}"
17__Gradient_Descent_and_Numerical_Optimization,https://www.textbook.ds100.org/ch/17/gradient_descent.html,"{""prefix"": [""gradient_descent""]}"
17_1__Loss_Minimization_Using_a_Program,https://www.textbook.ds100.org/ch/17/gradient_basics.html,"{""prefix"": [""gradient_basics""]}"
17_2__Gradient_Descent,https://www.textbook.ds100.org/ch/17/gradient_descent_define.html,"{""prefix"": [""gradient_descent_define""]}"
17_3__Convexity,https://www.textbook.ds100.org/ch/17/gradient_convexity.html,"{""prefix"": [""gradient_convexity""]}"
17_4__Stochastic_Gradient_Descent,https://www.textbook.ds100.org/ch/17/gradient_stochastic.html,"{""prefix"": [""gradient_stochastic""]}"
17_5__Fitting_a_Linear_Model_Using_Gradient_Descent,https://www.textbook.ds100.org/ch/17/gradient_lin_reg.html,"{""prefix"": [""gradient_lin_reg""]}"
18__[In_progress]_Case_Study__Donkey_Dimensions,https://www.textbook.ds100.org/ch/18/donkey_intro.html,"{""prefix"": [""donkey_intro""]}"
18_1__Linear_Regression_Case_Study,https://www.textbook.ds100.org/ch/18/donkey_analysis.html,"{""prefix"": [""donkey_analysis""]}"
19__[In_progress]_Multiple_Linear_Regression,https://www.textbook.ds100.org/ch/19/mult_intro.html,"{""prefix"": [""mult_intro""]}"
19_1__Multiple_Linear_Regression,https://www.textbook.ds100.org/ch/19/mult_model.html,"{""prefix"": [""mult_model""]}"
19_2__Inference_for_Multiple_Linear_Regression,https://www.textbook.ds100.org/ch/19/mult_inference.html,"{""prefix"": [""mult_inference""]}"
20__Feature_Engineering,https://www.textbook.ds100.org/ch/20/feature_engineering.html,"{""prefix"": [""feature_engineering""]}"
20_1__The_Walmart_dataset,https://www.textbook.ds100.org/ch/20/feature_one_hot.html,"{""prefix"": [""feature_one_hot""]}"
20_2__Predicting_Ice_Cream_Ratings,https://www.textbook.ds100.org/ch/20/feature_polynomial.html,"{""prefix"": [""feature_polynomial""]}"
21__The_Bias-Variance_Tradeoff,https://www.textbook.ds100.org/ch/21/bias_intro.html,"{""prefix"": [""bias_intro""]}"
21_1__Risk_and_Loss_Minimization,https://www.textbook.ds100.org/ch/21/bias_risk.html,"{""prefix"": [""bias_risk""]}"
21_2__Model_Bias_and_Variance,https://www.textbook.ds100.org/ch/21/bias_modeling.html,"{""prefix"": [""bias_modeling""]}"
21_3__Cross-Validation,https://www.textbook.ds100.org/ch/21/bias_cv.html,"{""prefix"": [""bias_cv""]}"
22__Regularization,https://www.textbook.ds100.org/ch/22/reg_intro.html,"{""prefix"": [""reg_intro""]}"
22_1__Regularization_Intuition,https://www.textbook.ds100.org/ch/22/reg_intuition.html,"{""prefix"": [""reg_intuition""]}"
22_2__L2_Regularization__Ridge_Regression,https://www.textbook.ds100.org/ch/22/reg_ridge.html,"{""prefix"": [""reg_ridge""]}"
22_3__L1_Regularization__Lasso_Regression,https://www.textbook.ds100.org/ch/22/reg_lasso.html,"{""prefix"": [""reg_lasso""]}"
23__[In_progress]_Case_Study__Multiple_Linear_Models,https://www.textbook.ds100.org/ch/23/mult_case_intro.html,"{""prefix"": [""mult_case_intro""]}"
24__Classification,https://www.textbook.ds100.org/ch/24/classification_intro.html,"{""prefix"": [""classification_intro""]}"
24_1__Regression_on_Probabilities,https://www.textbook.ds100.org/ch/24/classification_prob.html,"{""prefix"": [""classification_prob""]}"
24_2__The_Logistic_Model,https://www.textbook.ds100.org/ch/24/classification_log_model.html,"{""prefix"": [""classification_log_model""]}"
24_3__A_Loss_Function_for_the_Logistic_Model,https://www.textbook.ds100.org/ch/24/classification_cost.html,"{""prefix"": [""classification_cost""]}"
24_4__Using_Logistic_Regression,https://www.textbook.ds100.org/ch/24/classification_log_reg.html,"{""prefix"": [""classification_log_reg""]}"
24_5__Approximating_the_Empirical_Probability_Distribution,https://www.textbook.ds100.org/ch/24/classification_cost_justification.html,"{""prefix"": [""classification_cost_justification""]}"
24_6__Fitting_a_Logistic_Model,https://www.textbook.ds100.org/ch/24/classification_sgd.html,"{""prefix"": [""classification_sgd""]}"
24_7__Evaluating_Logistic_Models,https://www.textbook.ds100.org/ch/24/classification_sensitivity_specificity.html,"{""prefix"": [""classification_sensitivity_specificity""]}"
24_8__Multiclass_Classification,https://www.textbook.ds100.org/ch/24/classification_multiclass.html,"{""prefix"": [""classification_multiclass""]}"
25__[In_progress]_Replicable_Research,https://www.textbook.ds100.org/ch/25/repl_intro.html,"{""prefix"": [""repl_intro""]}"
25_1__P-hacking,https://www.textbook.ds100.org/ch/25/repl_phacking.html,"{""prefix"": [""repl_phacking""]}"
26__Dimensionality_Reduction_and_PCA,https://www.textbook.ds100.org/ch/26/pca_intro.html,"{""prefix"": [""pca_intro""]}"
26_1__Dimensions_of_a_Data_Table,https://www.textbook.ds100.org/ch/26/pca_dims.html,"{""prefix"": [""pca_dims""]}"
26_2__PCA_using_the_Singular_Value_Decomposition,https://www.textbook.ds100.org/ch/26/pca_svd.html,"{""prefix"": [""pca_svd""]}"
26_3__PCA_in_Practice,https://www.textbook.ds100.org/ch/26/pca_in_practice.html,"{""prefix"": [""pca_in_practice""]}"
27__[In_progress]_Decision_Trees_and_Random_Forests,https://www.textbook.ds100.org/ch/27/dtrees_intro.html,"{""prefix"": [""dtrees_intro""]}"
28__[In_progress]_Clustering,https://www.textbook.ds100.org/ch/28/clustering_intro.html,"{""prefix"": [""clustering_intro""]}"
Probability_Review,https://www.textbook.ds100.org/ch/a01/prob_review.html,"{""prefix"": [""prob_review""]}"
Vector_Space_Review,https://www.textbook.ds100.org/ch/a02/vector_space_review.html,"{""prefix"": [""vector_space_review""]}"
Statistical_Inference_Review,https://www.textbook.ds100.org/ch/a03/hyp_intro.html,"{""prefix"": [""hyp_intro""]}"
Hypothesis_Testing_and_Confidence_Intervals,https://www.textbook.ds100.org/ch/a03/hyp_introduction.html,"{""prefix"": [""hyp_introduction""]}"
Permutation_Test,https://www.textbook.ds100.org/ch/a03/hyp_introduction_part2.html,"{""prefix"": [""hyp_introduction_part2""]}"
Reference_Tables,https://www.textbook.ds100.org/ch/a04/ref_intro.html,"{""prefix"": [""ref_intro""]}"
pandas,https://www.textbook.ds100.org/ch/a04/ref_pandas.html,"{""prefix"": [""ref_pandas""]}"
